"name";"display_name";"parent";"content";"content_short";"tags";"category";"priority"
"Dosage and Poison Threshold";"";"";"To determine the effects a Potion has on the target divide the amount of poison by the targets poison resistance rounded down, then apply the effects of the Potions that many times.<br>If the result is 0 the Potion has no effect, however, if more of the Potion is consumed within its duration (or 5 minutes if no duration is given), the amount of potion consumed is added together.<br><br>?_Examples:__h3_<br>A Character with Poison Resistance 1 drinks one bottle of ?_Pure Evigilis_E_Alchemy_ containing 2 doses.<br>The Character gains 2 Health and their INT and CHA are reduced by 2 for 30 minutes<br><br>The same Character drinks a bottle of ?_Pure Mortis_M_Alchemy_ containing 0.5 doses<br>0.5/1=0<br>Nothing Happens<br>After 3 minutes they drink another bottle<br>(5 + 5)/7 = 1<br>They take 1d3 decay damage and their STR is increased by 1 for 2 minutes (5 minutes normal duration minus 3 pause between doses)";"";"";"";100
"Elemental";"";"Keywords";"Elemental Creatures are constructs of Mana and any Type of Matter. This includes not just the canonical elements but also things like plants, iron, blood or glass.<br><br>Elementals can be created on their own in areas with High Aether concentrations or be summoned by a Mage<br>All Elementals speak Gaian (though some may speak additional Languages).<br><br>?__abilities?name=Gaian Arbiter_Container_<br><br>Since Elementals are simply inert matter, animated by Mana, an Elemental%SQ%s Mana and Health are the same.<br>Notably this means:<br>- An Elemental that is casting a spell loses HP as well as Mana.<br>- Damaging an Elemental or draining Mana from them reduces both the Elemental%SQ%s Health and Mana.<br>- Meditating causes an Elemental to regain Health as well as Mana.";"Elemental Creatures are constructs of Mana and a specific Type of Matter.<br>They may appear in on their own or be summoned<br>An Elementals Mana and Health are always the same";"";"";100
"Enchantment";"";"";"";"Enchantments are spells that temporarily or permanently affect an object or person";"";"";100
"Ensnared";"";"Status Effects";"An ensnared Character can not move and has disadvantage on dodging.<br>If a Character lying on the ground would become ensnared, they become ?__bound__ instead.<br>";"Can not move.Disadvantage on dodging.";"root, snare, entangled";"";100
"Ethereal";"";"";"";"Immune to all types of damage except Holy and Arcane. Invisible to the naked eye";"";"";100
"Explosion";"";"";"Damage Dealt = Strength - Distance(Character, Center) * Damage<br>?_Example:__h3_<br>Explosion(1m , 1d3, 3)<br>?_Figure 1_images?name=Explosion_Image_<br>Character 1 (yellow) is within 1 meter of the explosion and takes 3d3 Fire and 3d3 Blunt Damage<br>Character 2 (green) is within 2 meters of the explosion and takes 2d3 Fire and 2d3 Blunt Damage<br>Character 3 (purple) is not within 3 meters of the explosion so they take no damage";"Explosion(Radius, Damage, Strength)<br>Deals Strength - Distance(Character, Center) times Damage to the Character";"";"";100
"Fear";"";"Status Effects";"A Character that is in fear of X can not attack X and has disadvantage when parrying against X.<br><br>A fearfull Character can not knowingly move towards X if that movement would make the Character more likely to come in contact with or be affected by X. <br>If the Character is in contact with X and able to perform Actions which may break that contact, the Character may not perform any other Actions.<br><br>While being able to sense that they might come in contact with X the Character is ?__distracted__<br>";"Inhibits the Character%SQ%s combat and movement abilties";"Status, Fear, afraid, fearful, phobia, permanent, trauma";"";100
"Frenzied";"";"";"A frenzied Character will try to attack any Character within twice their body height prioritizing Characters that dealt damage to them.<br>If no Character is within this range the frenzied Character will try to seek out whichever Character is closest.";"Tries to attack any Character within range";"";"";100
"Grappling";"";"";"?__abilities?tags:Potion_Container_";"";"";"";100
"Hard Shelled";"";"Keywords";"Piercing Damage gets converted to Blunt Damage<br>Damage dealt by Projectiles is additionally reduced by 50%";"Piercing Damage gets converted to Blunt Damage<br>Damage dealt by Projectiles is additionally reduced by 50%";"";"";100
"Hiding%COMMA% Passive Perception and Lookout";"";"Tests";"?_Passive Perception__h_<br>Any Character will passively use all of their senses to detect danger%COMMA% the higher their Perception (plus bonuses for that sense) the easier they spot potential danger.<br><br>?_Hiding__h_<br>In some cases you may try to pass a CON Test in order to hide and make detection harder in other cases you may have to pass a CON Test or be detected easily.<br><br>All values below apply to Perception not the Threshold (Negative values make Detection harder%COMMA% positive ones easier)<br><br>?_Vision__h3_<br>Threshold: 4<br><br>Static Modifiers:<br>Fog: -1 for light fog up to -10 for heavy fog<br>?__Darkness__: -3 for medium darkness up to infinity with complete darkness<br><br>Hiding:<br>Hiding behind light ?__Cover__: -5 if CON Test is passed<br><br>?_Hearing__h3_<br>Threshold: 18<br><br>Static Modifiers:<br>Moving: +N where N is Movement Speed<br>Holding Breath: -1<br><br>Hiding:<br>Creaking Floor: +6 unless CON Test with disadvantage is passed<br><br>?_Other Senses__h3_<br>Detection via other senses can usually not be avoided or manipulated<br>Smell Threshold: 15<br>Touch Threshold: 1<br>Non Standard Senses: ?__ability?=type:sense_L_<br><br>?_Active Lookout__h_<br>If a Character is actively looking out for intruder or similar they may try to pass a Perception Test to sense you%COMMA% all modifiers from Passive Perception apply.<br>If you pass a CON Test the lookout has disadvantage on the Perception Test.<br>Note: The lookout may still notice you via Passive Perception even if the Test failed<br><br>?__ability?=tags:sneak_C_<br>";"Passive Perception Thresholds:<br>Vision: 4<br>Hearing: 10<br>Smell: 15<br>Touch: 1<br><br>Active Lookout:<br>Lookout must pass Perception Test with modifiers from Passive Perception to sense you";"hide%COMMA% sneak%COMMA% skulk%COMMA% CON Test%COMMA% PER Test";"";100
"Injuries";"";"";"Injuries temporarily reduce a Character%SQ%s maximum Health. If an effect restores Health Points to a Character it will not heal any Injuries.<br>Injuries are sustained if a Character takes damage greater than their Injury Threshold at once, if the Damage is greater then their Constitution they may sustain a severe Injury.<br>?_Types of Injuries__h_<br>(Sorted by cause)<br>Healing rates are given in units of Health Regeneration<br>?_Cut (Piercing)__h3_<br>Heals by 1 per day.<br>Leaves behind a scar if not treated<br>?_Amputation (Piercing Severe)__h3_<br>Does not heal<br>Permanently reduces health until treated. Afterwards heals like a cut<br>?_Bruise (Blunt)__h3_<br>Heals by 2 per day.<br>?_Broken Bone (Blunt Severe)__h3_<br>Heals by 1 per week.<br>Healing stops at 1 Health Point unless treated within the first week.<br>Can be re-broken and then treated.<br>?_Burn(Fire and Frost)__h3_<br>?_Necrosis(Decay)__h3_";"";"";"";100
"Inspiration";"";"";"Inspiration is a pseudo-item that can be generated when a Character has a strange, awesome, interesting or horrible expirience<br>?_Types__h2_<br>?_Intelect__h4_<br>Generated by inspecting machinery, reading technical or philosophical manuscripts or observing nature.<br>?_Beauty__h4_<br>Generated by experiencing beautiful paintings, objects or sceneries.<br>?_Bravery__h4_<br>Generated by experiencing bravery, in battle or otherwise.<br>?_Terror__h4_<br>Generated by seeing horrible things like massacres.<br>?__abilities?tags:Inspiration_Container_";"";"";"";100
"Intelligence";"";"Attributes";"?__rule?=tags:INT Derived_C§content-short_<br>?__rule?=tags:INT Test_C§content-short_";"A Character%SQ%s Cunning<br>Influences Actions per Turn, Perception, Maximum Mana and Mana Regeneration";"INT";"";3
"Jumping";"";"Tests";"Jumping is a STR Test<br>Height as well as distance depend on your body height and weight.<br>?__abilities?name=Jump Proficiency_Container_<br>After Jumping over a distance greater than your body height you must pass a ?__Break Fall__ Test or ?_fall to the ground_On the Ground__";"Jumping is STR Test<br>Jump Hight relates to body Height<br><br>Jumps with a distance or height less than 30% of your body height always succeed.";"STR Test";"";100
"Knock Back";"";"";"Knock Backs are always defined in relation to an average human (170cm, 70Kg), if the target is really heavy or really light the distance should be adjusted accordingly<br>?_An Ogre about ten times the weight of a human receives a knock back for 10 meters, due to his weight he only gets thrown for one meter__E_<br><br>If a Character is knocked over a distance greater than half their body height they must pass a CON Test or ?_fall to the ground_On the Ground__. This Tests Difficulty is increased by 1 for every additional half body length the target is knocked back (round up).<br>?_An about average human (180cm) is knocked back over a distance of two meters, this is about two half body lengths for them so they must pass a CON - 1 Test__E_<br><br>?_Knocked into a Wall__h2_<br>Targets knocked into a wall or another massive object before the end of their journey take Blunt Damage equal to the distance remaining (adjust for soft surfaces, spikes, etc.).<br>If the impact shatters the wall they still take damage equal to the amount the wall %DQ%slowed them down%DQ%<br>They must still pass the CON Test as if they had been knocked back the entire distance.";"Distance given for an average Human (170cm, 70Kg), should be adjusted for heavy or light targets<br><br>If Distance is greater than 1/2 body height must pass a CON Test or fall to the ground";"";"";100
"Leveling Up";"";"";"The cost of Leveling up a skill is 100 Experience Points (XP).<br>To Level up a skill you have to train for 14 hours per Level. You can not spend more than 4 hours a day training.";"Gain Skillpoints by spending XP";"level, xp, exp, expirience, skill";"";100
"Lie Detection";"";"Tests";"The suspected liar must pass a CHA Test with a modifier of +10 if they are telling the truth.<br>If they fail you must pass a INT Test, if you pass you believe correctly if they lied or not, if you fail you believe the opposite<br><br>The DM should perform both Tests and only tell you what you believe so a player can not deduce the truth by knowing whether the rolls succeeded or failed (always roll two dice even if the person isn%SQ%t lying)<br><br>?__abilities?name=Bluffing_Container_<br>?__abilities?name=Detect Lies_Container_";"Suspected Liar takes CHA Test (+10 if they tell the truth)<br>On Fail you take a INT Test, if you succeed you believe correctly, if you fail you believe incorectly<br><br>Hidden Roll";"CHA Test, INT Test";"";100
"lorem ipsum";"";"";"Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum";"Lorem Ipsum";"";"";0
"Magic Skills";"";"Skills";"Leveling up Skills in this category grants ?_Magical Prowess_rules?name=Prowess__<br><br>?_Elemental Magic__h_<br>?_Earth_symbols/bobbleEarth.png_I§ability?=skill=Earth_  ?__Earth Magic__<br>?_Water_symbols/bobbleWater.png_I§ability?=skill=Water_  ?__Water Magic__<br>?_Air_symbols/bobbleAir.png_I§ability?=skill=Air_  ?__Air Magic__<br>?_Fire_symbols/bobbleFire.png_I§ability?=skill=Fire_  ?__Fire Magic__<br><br>?_Metaphysical Magic__h_<br>?_Creation_symbols/bobbleCreation.png_I§ability?=skill=creation_  ?__Creation Magic__<br>?_Corruption_symbols/bobbleCorruption.png_I§ability?=skill=Corruption_  ?__Corruption Magic__<br>?_Divine_symbols/bobbleDivine.png_I§ability?=skill=Divine_  ?__Divine Magic__<br>?_Eldritch_symbols/bobbleEldritch.png_I§ability?=skill=Eldritch_  ?__Eldritch Magic__";"Skills that pertain to elemental, spiritual and arcane magic";"level, exp, xp, expirience, learning";"";1
"Mana Regeneration";"";"Attributes";"Mana Regeneration defines a Charcter%SQ%s ability to harvest Mana from the aether and channel it through their body<br><br>Mana Regen = (INT/2 + WIL)/2<br><br>?__rule?=name=Meditation_C§content-short_?__rule?=name=Rituals_C§content-short_<br>Abilities that increase Mana Regeneration<br>?__ability?=effect:Increases your Mana Regen_C_";"Defines how much mana is restored during MeditationA thousandth of the Mana that can be channeled in one hourMana Regen = (INT/2 + WIL)/2";"";"";100
"Meditation";"";"Basic Actions";"Meditate is a Channeled action.<br>You may channel any amount of AP, afterwards you regain (X * Mana Regen)/10 Mana, where X is the amount of AP spent<br><br>You may not Meditate while you have less than your maximum amount of Stamina<br>To regain Stamina you can ?__Rest__";"Channel to restore Mana";"Mana, Regen, Manaregen, Spells";"";100
"Melee Hit Chance";"";"Attributes";"The Base Chance for hitting an enemy in melee combat. Applies to armed and unarmed combat";"The Base Chance for hitting an enemy in melee combat<br><br>Melee Hit Chance = DEX/2 +  5";"MEL";"";9
"Mentor";"";"Leveling Up";"When studying with a Mentor the cost to Level up a skill is reduced by 25XP, this stacks with Affinity.<br>A Mentor is any Character (including Player Characters) that has a Skill Level at least 3 above your own and is willing to spend the entire training with you.<br><br>Skills from the ?_Craft_Craft Skills__ category can not be leveled between level 5 and 15 without a Mentor";"Mentors allow you to spend 25 XP less on leveling up by training with you.<br>Allow you to level Up Craft Skills beyond level 5";"level, exp, xp, expirience, learning";"";100
